twa_bin,tack,aws_bin,min,max,mean,count
10.0,port,0-5,,,,0
10.0,port,5-10,4.955555555555556,5.2,5.0777777777777775,2
10.0,port,10-15,,,,0
10.0,port,15-20,,,,0
10.0,port,20-25,,,,0
10.0,starboard,0-5,,,,0
10.0,starboard,5-10,3.45,3.45,3.45,1
10.0,starboard,10-15,,,,0
10.0,starboard,15-20,5.314285714285714,5.314285714285714,5.314285714285714,1
10.0,starboard,20-25,,,,0
15.0,port,0-5,3.4,3.4499999999999997,3.425,2
15.0,port,5-10,4.8,5.2,5.021282051282052,13
15.0,port,10-15,6.1,6.2,6.15,2
15.0,port,15-20,,,,0
15.0,port,20-25,,,,0
15.0,starboard,0-5,,,,0
15.0,starboard,5-10,3.5,3.5,3.5,1
15.0,starboard,10-15,,,,0
15.0,starboard,15-20,,,,0
15.0,starboard,20-25,,,,0
20.0,port,0-5,3.3,3.55,3.4,3
20.0,port,5-10,4.6,5.44,5.018888888888889,14
20.0,port,10-15,,,,0
20.0,port,15-20,,,,0
20.0,port,20-25,,,,0
20.0,starboard,0-5,,,,0
20.0,starboard,5-10,1.8,1.8,1.8,1
20.0,starboard,10-15,,,,0
20.0,starboard,15-20,,,,0
20.0,starboard,20-25,,,,0
25.0,port,0-5,2.1,4.02,2.988,5
25.0,port,5-10,5.02,5.8,5.42875,16
25.0,port,10-15,5.85,6.314285714285714,6.168285714285714,5
25.0,port,15-20,,,,0
25.0,port,20-25,,,,0
25.0,starboard,0-5,1.9,1.9,1.9,2
25.0,starboard,5-10,,,,0
25.0,starboard,10-15,,,,0
25.0,starboard,15-20,,,,0
25.0,starboard,20-25,,,,0
30.0,port,0-5,2.75,4.44,3.839927248677249,36
30.0,port,5-10,4.792307692307692,6.133333333333334,5.3627623456790126,36
30.0,port,10-15,5.9,6.4363636363636365,6.289875541125541,8
30.0,port,15-20,,,,0
30.0,port,20-25,,,,0
30.0,starboard,0-5,1.7,2.0,1.85,2
30.0,starboard,5-10,4.75,5.0,4.875,2
30.0,starboard,10-15,,,,0
30.0,starboard,15-20,,,,0
30.0,starboard,20-25,,,,0
35.0,port,0-5,2.3000000000000003,4.54,3.6542192900995714,71
35.0,port,5-10,4.014285714285714,5.942857142857143,5.03586549109805,43
35.0,port,10-15,6.0,6.485714285714286,6.272984693877551,14
35.0,port,15-20,,,,0
35.0,port,20-25,,,,0
35.0,starboard,0-5,1.6,2.0,1.8,3
35.0,starboard,5-10,3.4,5.1,4.4,5
35.0,starboard,10-15,6.485714285714286,6.485714285714286,6.485714285714286,1
35.0,starboard,15-20,,,,0
35.0,starboard,20-25,,,,0
40.0,port,0-5,2.4,4.16,3.4469473951973955,90
40.0,port,5-10,3.8428571428571425,6.2,5.262427212849748,71
40.0,port,10-15,5.3,6.6,6.090567042606516,38
40.0,port,15-20,5.9,6.711111111111111,6.307070707070707,11
40.0,port,20-25,,,,0
40.0,starboard,0-5,1.7,2.2,1.95,4
40.0,starboard,5-10,2.457142857142857,5.644444444444444,4.4308110723964385,41
40.0,starboard,10-15,5.6499999999999995,6.6625000000000005,5.974007936507936,7
40.0,starboard,15-20,5.585714285714286,6.9799999999999995,6.438424908424909,6
40.0,starboard,20-25,,,,0
45.0,port,0-5,2.5,4.5,3.5137403100775195,43
45.0,port,5-10,3.6,6.366666666666667,4.897345125634599,57
45.0,port,10-15,4.277777777777778,6.766666666666667,5.983964102564102,50
45.0,port,15-20,5.2,6.8,6.140775573795409,43
45.0,port,20-25,5.8,5.8,5.8,1
45.0,starboard,0-5,1.5,2.2,2.0100000000000002,5
45.0,starboard,5-10,2.0,6.2,5.216905480140774,51
45.0,starboard,10-15,5.622222222222222,7.1,6.1548265726043505,27
45.0,starboard,15-20,6.128571428571429,6.592307692307692,6.31529304029304,3
45.0,starboard,20-25,,,,0
50.0,port,0-5,2.6,4.433333333333334,3.5589514652014653,52
50.0,port,5-10,2.2,5.9,4.348667738157534,98
50.0,port,10-15,4.233333333333333,6.7,5.76070446366499,106
50.0,port,15-20,5.3,6.7,6.052321298889926,108
50.0,port,20-25,5.62,5.933333333333334,5.772222222222222,6
50.0,starboard,0-5,1.6,2.2,1.9000000000000001,2
50.0,starboard,5-10,2.1,6.2,4.897968756093756,74
50.0,starboard,10-15,5.366666666666667,6.975,5.92603170093795,80
50.0,starboard,15-20,6.0,6.725,6.374837454212455,36
50.0,starboard,20-25,6.62,6.7,6.655555555555555,9
55.0,port,0-5,2.85,4.4,3.5873189865689867,30
55.0,port,5-10,2.48,6.233333333333333,4.574379529520659,124
55.0,port,10-15,4.188888888888888,6.6,5.810138664343675,167
55.0,port,15-20,5.333333333333333,6.666666666666667,5.78711559139785,93
55.0,port,20-25,5.866666666666666,6.1,5.99,5
55.0,starboard,0-5,1.96,2.2,2.109090909090909,7
55.0,starboard,5-10,1.3375,6.0,4.025204017725569,58
55.0,starboard,10-15,4.5,6.85,5.9015369677603715,94
55.0,starboard,15-20,5.7,6.7,6.302096908939014,57
55.0,starboard,20-25,6.6,6.6,6.6,2
60.0,port,0-5,2.72,4.6,3.472121212121212,22
60.0,port,5-10,2.9,6.4,4.5427690310920985,191
60.0,port,10-15,4.0,6.8,5.606830848123635,299
60.0,port,15-20,5.233333333333333,6.3,5.694973370927318,76
60.0,port,20-25,6.1,6.1,6.1,1
60.0,starboard,0-5,1.7857142857142858,4.7785714285714285,3.818228264790765,32
60.0,starboard,5-10,0.0,6.05,3.8559373346560846,120
60.0,starboard,10-15,4.075,6.75,5.67578960039225,151
60.0,starboard,15-20,5.8,6.7,6.40119807022246,41
60.0,starboard,20-25,6.033333333333333,6.576923076923077,6.305128205128205,2
65.0,port,0-5,2.56,4.5,3.352202380952381,14
65.0,port,5-10,2.5,6.5625,4.617521136649653,230
65.0,port,10-15,4.016666666666667,6.8,5.671722030519274,302
65.0,port,15-20,5.222222222222222,6.199999999999999,5.760935185185185,12
65.0,port,20-25,,,,0
65.0,starboard,0-5,2.1,4.714285714285714,3.7035215419501135,35
65.0,starboard,5-10,0.0,6.2,3.4925126085498426,141
65.0,starboard,10-15,3.7,6.8500000000000005,5.692866713785081,196
65.0,starboard,15-20,4.3,6.653846153846154,6.034471916971917,28
65.0,starboard,20-25,6.0,6.561538461538461,6.128791208791209,7
70.0,port,0-5,2.4,4.4,3.479931972789116,7
70.0,port,5-10,2.4,6.366666666666666,4.771535149401281,291
70.0,port,10-15,4.44,6.5,5.703075782912761,173
70.0,port,15-20,5.4,6.3,6.0200000000000005,5
70.0,port,20-25,,,,0
70.0,starboard,0-5,2.2,4.8,3.9556286549707607,19
70.0,starboard,5-10,0.4,6.4,4.454856472464386,139
70.0,starboard,10-15,4.0,7.0,5.708545483045484,185
70.0,starboard,15-20,4.3,6.8,6.181819044482087,66
70.0,starboard,20-25,5.95,6.18,6.043333333333333,3
75.0,port,0-5,2.966666666666667,4.9750000000000005,4.097916666666667,12
75.0,port,5-10,2.4,6.25,4.793319340148839,303
75.0,port,10-15,4.9,6.4,5.779476137175519,65
75.0,port,15-20,5.85,5.8999999999999995,5.875,2
75.0,port,20-25,,,,0
75.0,starboard,0-5,2.2,4.56,4.185805860805861,14
75.0,starboard,5-10,2.1,6.2,4.748694312933443,92
75.0,starboard,10-15,3.8,6.9,5.7651217794551135,135
75.0,starboard,15-20,4.22,6.8,6.173291907111287,94
75.0,starboard,20-25,6.0,6.0,6.0,1
80.0,port,0-5,3.7,3.9,3.783333333333333,3
80.0,port,5-10,2.75,6.2,4.945794645473206,200
80.0,port,10-15,5.194736842105263,6.438461538461539,6.093063154681576,30
80.0,port,15-20,5.2,5.8,5.5,2
80.0,port,20-25,,,,0
80.0,starboard,0-5,4.1,4.8,4.490090702947846,21
80.0,starboard,5-10,2.1166666666666667,6.25,4.825636126119997,93
80.0,starboard,10-15,4.0,6.6,5.809435360701183,79
80.0,starboard,15-20,4.1,6.8,6.102419048342961,92
80.0,starboard,20-25,5.3,6.611111111111112,5.931771336553946,12
85.0,port,0-5,3.8,4.8,4.4875,4
85.0,port,5-10,3.5,6.316666666666666,5.091222696339389,137
85.0,port,10-15,4.144444444444444,6.0,5.169907407407407,6
85.0,port,15-20,5.1,5.1499999999999995,5.125,2
85.0,port,20-25,,,,0
85.0,starboard,0-5,4.68,4.9,4.808979591836734,7
85.0,starboard,5-10,3.9,6.32,5.405312407898615,58
85.0,starboard,10-15,5.08,6.66,5.90423076923077,40
85.0,starboard,15-20,4.0,6.7,5.703318046393338,41
85.0,starboard,20-25,5.333333333333333,6.7,6.338951000690131,28
90.0,port,0-5,4.5,4.95,4.777380952380952,7
90.0,port,5-10,4.0,6.0,4.851117754794226,52
90.0,port,10-15,4.411111111111111,5.6,5.157777777777778,4
90.0,port,15-20,,,,0
90.0,port,20-25,,,,0
90.0,starboard,0-5,,,,0
90.0,starboard,5-10,3.8,6.47,5.421387608806963,31
90.0,starboard,10-15,5.071428571428572,6.5,6.043961038961038,22
90.0,starboard,15-20,6.022222222222222,6.044444444444444,6.033333333333334,3
90.0,starboard,20-25,6.42,6.68,6.553768115942028,6
95.0,port,0-5,4.666666666666666,5.0625,4.935416666666667,4
95.0,port,5-10,4.333333333333334,6.15,5.4522916666666665,16
95.0,port,10-15,5.1,6.05,5.574999999999999,2
95.0,port,15-20,,,,0
95.0,port,20-25,,,,0
95.0,starboard,0-5,5.0,5.1499999999999995,5.045833333333333,4
95.0,starboard,5-10,4.014285714285714,6.7,5.395546701162086,65
95.0,starboard,10-15,3.871428571428571,6.7,5.4852380952380955,11
95.0,starboard,15-20,,,,0
95.0,starboard,20-25,,,,0
100.0,port,0-5,,,,0
100.0,port,5-10,4.775,6.2,5.737500000000001,6
100.0,port,10-15,,,,0
100.0,port,15-20,,,,0
100.0,port,20-25,,,,0
100.0,starboard,0-5,,,,0
100.0,starboard,5-10,4.371428571428571,6.6,5.789996134817564,56
100.0,starboard,10-15,4.585714285714285,6.1,5.563276723276723,11
100.0,starboard,15-20,,,,0
100.0,starboard,20-25,,,,0
105.0,port,0-5,,,,0
105.0,port,5-10,4.6,6.15,5.194,5
105.0,port,10-15,5.366666666666666,5.366666666666666,5.366666666666666,1
105.0,port,15-20,,,,0
105.0,port,20-25,,,,0
105.0,starboard,0-5,,,,0
105.0,starboard,5-10,5.2384615384615385,6.466666666666667,5.820952722491184,39
105.0,starboard,10-15,5.7,6.1,5.888351648351649,7
105.0,starboard,15-20,,,,0
105.0,starboard,20-25,,,,0
110.0,port,0-5,,,,0
110.0,port,5-10,6.1000000000000005,6.1000000000000005,6.1000000000000005,1
110.0,port,10-15,4.1,4.1,4.1,1
110.0,port,15-20,,,,0
110.0,port,20-25,,,,0
110.0,starboard,0-5,,,,0
110.0,starboard,5-10,5.2153846153846155,6.483333333333333,5.846033182503771,17
110.0,starboard,10-15,5.6,6.0249999999999995,5.838846153846154,5
110.0,starboard,15-20,,,,0
110.0,starboard,20-25,,,,0
115.0,port,0-5,,,,0
115.0,port,5-10,,,,0
115.0,port,10-15,,,,0
115.0,port,15-20,,,,0
115.0,port,20-25,,,,0
115.0,starboard,0-5,,,,0
115.0,starboard,5-10,5.68,5.8,5.723230769230769,5
115.0,starboard,10-15,5.776923076923077,6.0,5.886111111111111,9
115.0,starboard,15-20,,,,0
115.0,starboard,20-25,,,,0
120.0,port,0-5,,,,0
120.0,port,5-10,,,,0
120.0,port,10-15,,,,0
120.0,port,15-20,,,,0
120.0,port,20-25,,,,0
120.0,starboard,0-5,,,,0
120.0,starboard,5-10,3.9,6.0,5.46,5
120.0,starboard,10-15,4.771428571428571,6.0,5.7839285714285715,8
120.0,starboard,15-20,,,,0
120.0,starboard,20-25,,,,0
125.0,port,0-5,,,,0
125.0,port,5-10,4.3,4.3,4.3,1
125.0,port,10-15,,,,0
125.0,port,15-20,,,,0
125.0,port,20-25,,,,0
125.0,starboard,0-5,,,,0
125.0,starboard,5-10,,,,0
125.0,starboard,10-15,,,,0
125.0,starboard,15-20,,,,0
125.0,starboard,20-25,,,,0
135.0,port,0-5,,,,0
135.0,port,5-10,5.2,5.2,5.2,1
135.0,port,10-15,4.2,5.133333333333333,4.666666666666666,2
135.0,port,15-20,,,,0
135.0,port,20-25,,,,0
135.0,starboard,0-5,,,,0
135.0,starboard,5-10,,,,0
135.0,starboard,10-15,,,,0
135.0,starboard,15-20,,,,0
135.0,starboard,20-25,,,,0
140.0,port,0-5,,,,0
140.0,port,5-10,4.5,4.5,4.5,3
140.0,port,10-15,4.455555555555556,4.455555555555556,4.455555555555556,1
140.0,port,15-20,,,,0
140.0,port,20-25,,,,0
140.0,starboard,0-5,,,,0
140.0,starboard,5-10,,,,0
140.0,starboard,10-15,,,,0
140.0,starboard,15-20,,,,0
140.0,starboard,20-25,,,,0
150.0,port,0-5,,,,0
150.0,port,5-10,5.18,5.18,5.18,1
150.0,port,10-15,,,,0
150.0,port,15-20,,,,0
150.0,port,20-25,,,,0
150.0,starboard,0-5,,,,0
150.0,starboard,5-10,,,,0
150.0,starboard,10-15,,,,0
150.0,starboard,15-20,,,,0
150.0,starboard,20-25,,,,0
155.0,port,0-5,,,,0
155.0,port,5-10,4.0,4.366666666666666,4.183333333333334,2
155.0,port,10-15,,,,0
155.0,port,15-20,,,,0
155.0,port,20-25,,,,0
155.0,starboard,0-5,,,,0
155.0,starboard,5-10,,,,0
155.0,starboard,10-15,,,,0
155.0,starboard,15-20,,,,0
155.0,starboard,20-25,,,,0
160.0,port,0-5,,,,0
160.0,port,5-10,,,,0
160.0,port,10-15,4.433333333333334,4.433333333333334,4.433333333333334,1
160.0,port,15-20,,,,0
160.0,port,20-25,,,,0
160.0,starboard,0-5,,,,0
160.0,starboard,5-10,,,,0
160.0,starboard,10-15,,,,0
160.0,starboard,15-20,,,,0
160.0,starboard,20-25,,,,0
165.0,port,0-5,,,,0
165.0,port,5-10,2.2666666666666666,2.2666666666666666,2.2666666666666666,1
165.0,port,10-15,4.666666666666667,4.666666666666667,4.666666666666667,1
165.0,port,15-20,,,,0
165.0,port,20-25,,,,0
165.0,starboard,0-5,,,,0
165.0,starboard,5-10,,,,0
165.0,starboard,10-15,,,,0
165.0,starboard,15-20,,,,0
165.0,starboard,20-25,,,,0
170.0,port,0-5,,,,0
170.0,port,5-10,,,,0
170.0,port,10-15,4.5,4.9,4.7,2
170.0,port,15-20,,,,0
170.0,port,20-25,,,,0
170.0,starboard,0-5,,,,0
170.0,starboard,5-10,,,,0
170.0,starboard,10-15,,,,0
170.0,starboard,15-20,,,,0
170.0,starboard,20-25,,,,0
175.0,port,0-5,,,,0
175.0,port,5-10,4.433333333333334,5.2,4.816666666666666,2
175.0,port,10-15,,,,0
175.0,port,15-20,,,,0
175.0,port,20-25,,,,0
175.0,starboard,0-5,,,,0
175.0,starboard,5-10,,,,0
175.0,starboard,10-15,,,,0
175.0,starboard,15-20,,,,0
175.0,starboard,20-25,,,,0
